species;body_mass_during_mating;body_mass_before_mating;log_rel_testes_mass;body mass
Chaetodipus_formosus;0,828728448;7,100595603;0,027753069;
Cricetus_cricetus;-5,609336399;9,346320281;0,164352856;
Cynomys_leucurus;-21,6091954;4,895104895;-0,251099431;
Erinaceus_europaeus;-12,51933764;2,742691032;-0,459209665;
Glis_glis;-8,648646786;6,62824103;0,155891502;
Microcebus_murinus;-20,71429447;9,010020621;0,484236509;
Perognathus_longimembris;3,248619772;7,850698534;-0,046996563;
Tachyglossus_aculeatus;-12,73408369;6,964561295;-0,075720714;
Urocitellus_columbianus;-0,354609929;8,88030888;-0,019724561;
Urocitellus_parryii;-21,62162291;0,486903388;-0,31811901;
Urocitellus_richardsonii;-9,956631963;6,092236351;-0,246018664;
