species;time_after_mating;body_mass_during_mating
Callospermophilus_saturatus;129;-6,38161176
Cricetus_cricetus;50;-5,609336399
Cynomys_leucurus;115;-21,6091954
Erinaceus_europaeus;80,75;-12,51933764
Glis_glis;62;-8,648646786
Marmota_monax;174;-6,249997455
Microcebus_murinus;162;-20,71429447
Poliocitellus_franklinii;96;-2,021318375
Spermophilus_citellus;139;-9,82866709
Tachyglossus_aculeatus;165;-12,73408369
Tamias_sibiricus;147;1,545253863
Urocitellus_beldingi;78;-1,008872882
Urocitellus_columbianus;90;-0,354609929
Urocitellus_elegans;96;-3,818673842
Urocitellus_mollis;69;9,466925837
Urocitellus_parryii;141;-21,62162291
Urocitellus_richardsonii;65,5;-9,956631963
Ictidomys_parvidens;69;-10,48689139
Urocitellus_armatus;58,66666667;6,822509946
