species;time_after_mating;body_mass_before_during_mating
Callospermophilus_saturatus;129;-13,13028633
Cricetus_cricetus;50;3,212717336
Cynomys_leucurus;115;-17,77188329
Erinaceus_europaeus;80,75;-10,12263412
Glis_glis;62;-2,593658911
Microcebus_murinus;162;-13,57063605
Poliocitellus_franklinii;96;-4,586317029
Spermophilus_citellus;139;-13,39279323
Tachyglossus_aculeatus;165;-6,656395464
Urocitellus_beldingi;78;-5,468307221
Urocitellus_columbianus;90;8,494208494
Urocitellus_parryii;141;-21,23999594
Urocitellus_richardsonii;65,5;-4,483569219
Ictidomys_parvidens;69;24,47916667
Urocitellus_armatus;58,66666667;2,283052616
