species;late_mating;foodstoring ;log_rel_testes_mass;protandry;min_temper
Callospermophilus_lateralis;2;Food;0,24;9,15;-10,54
Callospermophilus_saturatus;1;Food;0,01;1;-7,5
Chaetodipus_formosus;4;Food;0,03;14;-7,300000191
Cricetus_cricetus;2,5;Food;0,16;20;-2,700000048
Cynomys_leucurus;1;Fat;-0,25;21;-11,80000019
Erinaceus_europaeus;1;Fat;-0,46;17,58333333;-5,299999952
Glis_glis;1;Fat;0,16;30;-2,5
Ictidomys_tridecemlineatus;1;Fat;-0,12;7;-11,60000038
Marmota_monax;1;Fat;-0,75;22;-11,5
Perognathus_longimembris;4;Food;-0,05;14;-7,300000191
Perognathus_parvus;4;Food;-0,02;23,2258075;-4,199999809
Tachyglossus_aculeatus;1;Fat;-0,08;45;3,599999905
Tamias_amoenus;1;Food;0,29;10,5;-7,300000191
Urocitellus_armatus;1;Fat;-0,19;4,05;-14,29
Urocitellus_beldingi;1;Fat;-0,03;9;-12,39999962
Urocitellus_columbianus;1;Fat;-0,02;13,28333333;-16,80000019
Urocitellus_mollis;1;Fat;-0,27;15;-5,400000095
Urocitellus_parryii;1;Food;-0,32;12,5;-29,85
Urocitellus_richardsonii;1;Food;-0,25;12,87;-16,6
Zapus_princeps;1;Fat;-0,4;10,33333333;-14,10000038
Urocitellus_elegans;1;Fat;-0,19;17,33333333;-16,60000038
Microcebus_murinus;1;Fat;0,48;48;14,60000038
