species;foodstoring ;late_mating;protandry;body_mass_before_mating;min_temper
Callospermophilus_saturatus;Food;1;4;-7,208706208;-7,300000191
Cricetus_cricetus;Food;2,5;20;9,346320281;-2,700000048
Cynomys_leucurus;Fat;1;21;4,895104895;-11,80000019
Erinaceus_europaeus;Fat;1;17,58333333;2,742691032;-5,299999952
Glis_glis;Fat;1;30;6,62824103;-2,5
Microcebus_murinus;Fat;1;48;9,010020621;14,60000038
Poliocitellus_franklinii;Fat;1;11;-1,722688052;-21,10000038
Spermophilus_citellus;Fat;1;23;-3,952615562;-2,5
Tachyglossus_aculeatus;Fat;1;45;6,964561295;3,599999905
Urocitellus_beldingi;Fat;1;9;-6,274508758;-12,39999962
Urocitellus_columbianus;Fat;1;7;8,88030888;-17,5
Urocitellus_parryii;Food;1;14;0,486903388;-30,20000076
Urocitellus_richardsonii;Food;1;16,02083333;6,09;-14,42499971
Zapus_hudsonius;Fat;1;14;-8,882538414;-8,5
Urocitellus_armatus;Fat;1;5;-13,5542503;-13
Chaetodipus_formosus;Food;4;14;7,100595603;-7,300000191
Ictidomys_parvidens;Fat;6;7,5;39,0625;-2,400000095
Perognathus_longimembris;Food;4;14;7,850698534;-7,300000191
Xerospermophilus_tereticaudus;Fat;4;5,25;5,100900348;2,400000095
