species;time_after_mating;sex_diff_immerg;maternal_effort
Callospermophilus_saturatus;129;3;70
Cricetus_cricetus;50;27;43
Cynomys_leucurus;115;11;67
Erinaceus_europaeus;80,75;15,70833333;72
Glis_glis;62;14;58
Marmota_monax;174;-2;76,05
Microcebus_murinus;162;0;98
Poliocitellus_franklinii;96;15,75;58
Spermophilus_citellus;139;-21,25;64,5
Tachyglossus_aculeatus;165;24;167,5
Tamias_sibiricus;147;-9,8;65,06
Urocitellus_beldingi;78;20;51,53
Urocitellus_columbianus;90;11,76666667;53,2
Urocitellus_elegans;96;-9;55,58
Urocitellus_mollis;69;14,5;58
Urocitellus_parryii;141;-28;53
Urocitellus_richardsonii;65,5;12,16;51,79
Napaeozapus_insignis;83,66666667;5,75;65
Callospermophilus_lateralis;107,5;-8,25;71,44
Urocitellus_armatus;58,66666667;-8,66;45
